length_chars,length_tokens,num_distinct_tokens,num_capital_chars,num_capital_tokens,num_free,num_digits,label
145,25,24,25,4,0,22,spam
74,17,17,2,0,0,0,ham
32,6,6,1,0,0,0,ham
49,12,12,2,0,0,0,ham
172,28,25,9,1,0,0,ham
26,5,5,1,0,0,0,ham
26,5,5,1,0,0,0,ham
31,8,8,1,0,0,0,ham
51,9,9,3,0,0,0,ham
80,16,15,2,0,0,0,ham
23,3,3,1,0,0,0,ham
33,6,6,1,0,0,0,ham
78,15,15,4,0,0,0,ham
22,4,4,1,0,0,0,ham
6,2,2,1,0,0,0,ham
56,15,14,39,11,0,1,ham
65,16,16,2,0,0,0,ham
126,26,24,2,0,0,0,ham
159,29,28,22,2,0,23,spam
69,12,12,1,0,0,0,ham
152,30,29,8,0,0,14,spam
37,9,8,1,0,0,0,ham
31,6,5,1,0,0,0,ham
151,30,29,48,10,0,23,spam
163,34,27,47,11,0,0,ham
156,30,29,12,2,1,6,spam
119,22,22,16,2,0,0,ham
38,10,9,1,0,0,0,ham
122,25,23,1,0,0,0,ham
32,7,7,1,0,0,0,ham
32,9,8,1,0,0,0,ham
48,12,11,1,0,0,0,ham
37,8,8,1,0,0,0,ham
75,18,16,1,0,0,0,ham
42,10,10,1,0,0,0,ham
27,6,6,2,0,0,0,ham
82,14,14,6,0,0,0,ham
111,20,19,26,5,0,32,spam
22,4,4,2,0,0,0,ham
28,6,6,1,0,0,0,ham
25,6,6,1,0,0,0,ham
121,28,24,2,0,0,0,ham
31,6,6,2,0,0,0,ham
50,12,12,2,0,0,0,ham
82,17,15,1,0,0,0,ham
44,10,10,2,0,0,0,ham
161,32,28,7,0,0,20,spam
47,11,11,1,0,0,0,ham
140,36,31,3,0,0,1,ham
47,11,9,2,0,0,0,ham
52,11,10,1,0,0,0,ham
23,5,5,1,0,0,0,ham
51,13,13,1,0,0,1,ham
59,11,11,1,0,0,0,ham
9,2,2,1,0,0,0,ham
60,14,14,6,1,0,0,ham
33,7,7,1,0,0,0,ham
281,65,41,6,0,0,9,ham
34,8,7,2,0,0,0,ham
26,6,6,1,0,0,0,ham
39,8,8,1,0,0,0,ham
134,25,25,6,0,0,0,ham
66,15,15,1,0,0,0,ham
28,7,7,1,0,0,0,ham
46,8,8,2,0,0,0,ham
27,6,6,1,0,0,0,ham
21,4,4,1,0,0,0,ham
50,11,10,1,0,0,0,ham
26,6,6,1,0,0,0,ham
40,7,7,2,0,0,0,ham
43,9,9,1,0,0,0,ham
39,8,8,1,0,0,0,ham
29,8,8,1,0,0,0,ham
158,35,29,6,0,0,0,ham
48,10,9,1,0,0,0,ham
131,23,21,2,0,0,0,ham
162,27,27,29,3,0,26,spam
160,33,29,4,0,0,0,ham
50,11,11,1,0,0,1,ham
32,7,7,1,0,0,0,ham
161,30,28,24,2,0,21,spam
322,62,52,26,3,0,6,ham
73,14,13,4,1,0,6,spam
11,2,2,1,0,0,0,ham
66,15,15,2,0,0,0,ham
145,25,24,25,4,0,22,spam
21,5,5,1,0,1,0,ham
30,5,5,2,0,0,0,ham
76,17,16,3,0,0,0,ham
27,7,6,1,0,0,0,ham
100,20,20,0,0,0,15,spam
56,11,11,2,0,0,0,ham
46,9,9,2,0,0,0,ham
155,26,25,4,0,0,0,ham
17,4,4,0,0,0,2,ham
78,18,16,2,0,0,1,ham
51,12,12,1,0,0,0,ham
109,21,19,2,0,0,0,ham
153,30,25,20,2,0,8,ham
160,30,28,16,0,0,0,ham
52,11,11,2,0,0,0,ham
133,27,24,6,2,1,26,spam
109,18,18,7,1,1,19,spam
112,26,23,4,0,0,0,ham
50,10,9,2,0,0,0,ham
28,6,6,1,0,0,0,ham
43,10,10,2,0,0,0,ham
31,7,7,1,0,0,0,ham
13,3,3,1,0,0,0,ham
5,1,1,1,0,0,0,ham
137,23,22,22,4,0,26,spam
36,8,8,2,0,0,0,ham
145,27,25,14,3,0,28,spam
37,9,9,1,0,0,1,ham
37,7,7,1,0,0,0,ham
28,8,8,1,0,0,0,ham
146,27,25,12,3,0,28,spam
149,27,26,13,2,0,22,spam
23,3,3,1,0,0,0,ham
88,17,17,4,0,0,0,ham
101,18,17,3,0,0,0,ham
181,33,32,4,0,0,1,spam
31,6,6,1,0,0,0,ham
45,10,10,2,0,0,0,ham
149,25,25,23,2,0,34,spam
30,8,8,2,0,0,0,ham
80,18,18,2,0,0,0,ham
23,5,5,1,0,0,0,ham
38,9,9,1,0,0,0,ham
49,10,10,3,0,0,0,ham
161,29,28,25,1,0,18,spam
102,17,17,18,3,2,0,spam
90,17,16,1,0,0,0,ham
49,9,9,1,0,0,0,ham
86,21,17,6,0,0,2,ham
29,8,7,2,0,0,0,ham
84,17,17,1,0,0,0,ham
111,20,20,3,0,0,0,ham
106,26,21,4,0,0,0,ham
62,13,13,1,0,0,0,ham
72,16,16,2,0,0,0,ham
136,29,25,25,6,0,21,spam
142,29,29,4,0,0,1,ham
56,12,12,3,0,0,0,ham
158,29,26,2,0,0,0,ham
140,24,24,8,1,1,4,spam
87,18,18,2,0,0,1,ham
79,21,18,1,0,0,0,ham
53,11,11,1,0,0,0,ham
245,57,39,5,0,0,0,ham
87,17,15,1,0,0,0,ham
24,4,4,1,0,0,0,ham
35,7,7,2,0,0,0,ham
19,4,4,1,0,0,0,ham
29,7,7,1,0,0,0,ham
38,8,8,1,0,0,0,ham
114,23,23,9,1,0,0,ham
67,13,13,2,0,0,3,ham
17,4,4,1,0,0,0,ham
46,8,8,1,0,0,0,ham
51,12,11,3,0,0,0,ham
37,8,8,2,0,0,0,ham
140,27,25,3,0,0,0,ham
72,15,15,2,0,0,0,ham
32,7,7,1,0,0,0,ham
42,11,11,3,0,0,0,ham
155,33,32,17,1,0,21,spam
139,31,24,23,5,1,20,spam
45,8,8,1,0,0,0,ham
77,15,11,2,0,0,0,ham
120,22,22,2,0,0,0,ham
160,28,26,35,6,2,14,spam
41,8,8,1,0,1,0,ham
32,5,5,1,0,0,0,ham
30,8,8,1,0,0,0,ham
143,25,25,5,0,0,12,spam
40,7,7,1,0,0,0,ham
39,9,9,1,0,0,0,ham
22,5,5,1,0,0,0,ham
51,10,9,1,0,0,0,ham
22,5,5,1,0,0,0,ham
142,31,25,12,1,0,3,ham
90,15,15,7,1,0,14,spam
35,5,5,1,0,0,0,ham
63,12,12,1,0,0,0,ham
76,17,15,4,1,0,0,ham
49,12,12,1,0,0,0,ham
41,10,10,0,0,0,0,ham
46,10,10,2,0,0,0,ham
153,29,27,1,0,0,0,ham
145,25,25,20,2,0,0,ham
110,24,23,4,0,0,0,ham
57,13,13,1,0,0,0,ham
54,11,11,2,0,0,0,ham
38,8,8,2,0,0,0,ham
24,5,5,1,0,0,0,ham
71,14,13,2,0,0,0,ham
72,16,14,3,0,0,0,ham
276,57,48,7,0,0,0,ham
68,12,11,3,0,0,0,ham
31,5,5,1,0,0,0,ham
161,29,29,18,2,0,3,spam
58,12,12,7,1,0,0,ham
142,29,25,4,0,0,0,ham
73,13,9,1,0,0,0,ham
36,9,9,2,0,0,0,ham
45,10,9,1,0,0,0,ham
129,27,19,3,0,0,0,ham
28,8,8,2,0,0,0,ham
47,10,9,3,0,0,0,ham
54,10,10,3,0,0,0,ham
22,5,5,1,0,0,0,ham
61,11,11,2,0,0,0,ham
152,33,24,5,0,0,0,ham
43,9,9,2,0,1,0,ham
69,14,14,5,1,0,0,ham
44,7,7,2,0,0,0,ham
60,10,10,2,0,0,0,ham
126,26,24,17,1,1,0,ham
160,27,26,62,8,0,17,spam
44,10,10,2,0,1,0,ham
54,11,10,1,0,0,0,ham
154,29,27,14,1,2,13,spam
110,23,20,4,0,0,0,ham
157,28,27,3,0,1,0,spam
34,8,8,2,0,0,1,ham
152,28,28,18,3,0,27,spam
82,14,14,2,0,0,0,ham
30,5,5,3,0,0,0,ham
36,9,9,1,0,0,2,ham
23,6,6,1,0,0,0,ham
38,6,6,4,0,0,0,ham
7,1,1,1,0,0,0,ham
151,28,25,5,0,0,12,spam
64,12,12,2,0,0,0,ham
27,7,7,1,0,0,0,ham
160,36,26,8,0,0,0,ham
32,7,6,2,0,0,0,ham
55,13,13,2,0,0,0,ham
53,10,10,4,0,0,0,ham
44,11,11,2,0,0,2,ham
194,42,36,4,0,0,0,ham
61,12,11,2,0,0,1,ham
160,30,28,12,0,0,19,spam
25,6,6,3,1,0,0,ham
28,6,6,1,0,0,0,ham
31,6,6,1,0,0,0,ham
33,7,7,1,0,0,0,ham
131,21,13,10,1,0,0,ham
24,5,5,1,0,0,0,ham
54,10,10,2,0,0,0,ham
42,10,10,2,0,0,0,ham
46,10,10,1,0,0,0,ham
121,27,24,88,22,0,2,ham
161,31,30,25,1,0,21,spam
48,11,11,1,0,0,1,ham
112,19,19,1,0,0,13,spam
33,7,7,2,0,0,0,ham
44,10,8,1,0,0,0,ham
38,9,9,2,0,0,0,ham
56,12,12,2,0,0,0,ham
195,40,32,1,0,0,0,ham
132,25,23,4,0,0,0,ham
29,5,5,1,0,0,0,ham
37,4,4,1,0,0,0,ham
281,65,41,6,0,0,9,ham
26,5,5,1,0,0,0,ham
152,28,27,8,2,1,20,spam
24,4,4,1,0,0,0,ham
39,9,8,2,0,0,0,ham
14,3,3,2,0,0,1,ham
143,28,28,25,4,0,20,spam
78,19,18,2,0,0,0,ham
89,23,22,66,21,0,0,ham
84,17,16,2,0,0,0,ham
134,20,20,28,4,0,0,ham
149,25,22,3,0,0,0,ham
98,20,20,3,0,0,0,ham
159,29,29,25,3,1,12,spam
3,1,1,1,0,0,0,ham
22,5,5,2,0,0,0,ham
28,6,6,1,0,0,0,ham
38,7,5,1,0,0,0,ham
42,8,8,3,0,0,0,ham
70,15,15,4,0,0,8,ham
30,6,6,1,0,0,0,ham
27,6,5,1,0,0,0,ham
41,10,10,2,0,0,1,ham
74,15,15,1,0,0,0,ham
24,6,6,1,0,0,0,ham
59,10,10,3,0,0,0,ham
5,1,1,1,0,0,0,ham
51,11,11,2,0,0,0,ham
27,5,5,2,0,0,0,ham
46,8,7,2,0,0,1,ham
41,7,7,1,0,0,0,ham
36,8,7,1,0,0,0,ham
57,12,12,1,0,0,1,ham
42,8,8,2,0,0,0,ham
85,18,17,2,0,0,0,ham
24,5,5,1,0,0,0,ham
32,8,8,1,0,0,0,ham
42,8,8,1,0,0,0,ham
58,13,13,0,0,0,0,ham
23,6,6,1,0,0,0,ham
159,23,21,24,2,1,19,spam
135,29,27,4,0,0,0,ham
18,4,4,2,0,1,0,ham
51,13,10,1,0,0,0,ham
104,22,18,3,0,0,0,ham
74,16,16,4,0,0,0,ham
26,4,4,1,0,0,0,ham
43,10,9,1,0,0,0,ham
90,17,17,17,2,0,21,spam
36,6,6,1,0,0,0,ham
40,8,7,2,0,0,0,ham
61,12,12,2,0,0,0,ham
42,10,10,2,0,0,0,ham
125,23,22,5,0,0,0,ham
166,29,28,3,0,0,22,spam
76,15,14,2,0,0,0,ham
39,9,9,1,0,0,0,ham
107,27,25,1,0,0,1,ham
57,15,15,2,0,0,1,ham
26,6,6,2,0,0,0,ham
45,10,8,1,0,0,0,ham
22,5,5,2,0,0,0,ham
204,47,35,1,0,0,0,ham
160,31,30,28,2,0,23,spam
94,22,20,5,0,0,0,ham
62,11,11,1,0,0,0,ham
23,5,5,1,0,0,0,ham
47,9,9,1,0,0,0,ham
37,9,9,2,0,0,1,ham
22,5,5,1,0,0,1,ham
55,12,12,2,0,0,0,ham
42,10,8,2,0,0,0,ham
91,18,15,1,0,0,0,ham
71,18,17,7,1,0,0,ham
82,16,16,1,0,0,0,ham
141,32,26,2,0,0,0,ham
107,22,19,3,0,0,2,ham
104,19,19,1,0,0,0,ham
61,14,13,2,0,0,0,ham
156,30,25,12,0,0,7,spam
160,33,31,16,3,0,23,spam
134,29,28,21,3,0,18,spam
158,29,25,4,0,0,0,ham
160,33,30,5,0,0,1,ham
38,8,8,1,0,0,0,ham
22,5,5,1,0,0,0,ham
73,18,18,1,0,0,1,ham
9,2,2,1,0,0,0,ham
61,13,13,2,0,0,0,ham
42,8,8,9,2,0,4,spam
148,27,21,14,1,0,0,ham
25,5,5,6,1,0,0,ham
109,23,20,12,3,0,8,spam
136,26,26,11,0,0,9,ham
119,24,23,31,6,1,11,spam
23,5,5,1,0,0,0,ham
29,6,6,1,0,0,1,ham
60,12,12,43,9,0,0,ham
22,4,4,1,0,0,0,ham
47,8,8,1,0,0,0,ham
110,21,18,5,0,0,0,ham
94,21,18,1,0,0,0,ham
42,9,9,1,0,0,0,ham
79,17,17,2,0,0,0,ham
5,1,1,1,0,0,0,ham
88,17,16,3,0,0,0,ham
81,14,14,1,0,0,1,spam
46,11,11,2,0,0,1,ham
67,15,15,2,0,0,0,ham
25,6,6,1,0,0,0,ham
67,15,10,10,1,0,0,ham
106,16,15,7,0,0,13,spam
127,28,26,10,2,0,24,spam
123,22,20,5,0,0,0,ham
74,17,15,2,0,0,0,ham
40,11,9,4,0,0,0,ham
22,3,3,2,0,0,0,ham
41,7,7,2,0,0,0,ham
67,14,14,2,0,0,0,ham
43,9,9,1,0,0,0,ham
33,6,6,1,0,0,0,ham
22,6,6,1,0,0,1,ham
34,7,7,1,0,0,0,ham
120,27,24,3,0,0,1,ham
33,7,7,2,0,0,0,ham
139,32,29,3,0,0,1,ham
76,14,14,1,0,0,0,ham
145,28,25,5,1,0,24,spam
327,74,59,5,0,0,0,ham
157,35,34,114,30,0,3,ham
114,23,20,3,0,0,0,ham
65,14,14,2,0,0,0,ham
67,14,13,1,0,0,0,ham
140,29,29,27,4,1,12,spam
44,11,10,2,0,0,0,ham
25,5,5,1,0,0,0,ham
12,3,3,1,0,0,1,ham
65,12,12,2,0,0,0,ham
76,16,14,2,0,0,0,ham
96,23,18,2,0,0,0,ham
27,6,6,1,0,0,0,ham
33,7,7,1,0,0,0,ham
156,38,33,115,32,0,1,ham
28,5,5,1,0,0,0,ham
145,29,25,1,0,0,0,ham
72,15,14,2,0,0,1,ham
96,23,17,4,0,0,0,ham
63,14,14,3,0,0,0,ham
29,7,7,1,0,0,0,ham
42,8,8,1,0,0,0,ham
139,25,25,18,2,0,18,spam
39,9,9,1,0,0,0,ham
108,24,24,3,0,0,1,ham
48,10,9,1,0,0,0,ham
58,11,11,2,0,0,0,ham
183,30,25,10,1,0,22,spam
34,9,9,1,0,0,0,ham
37,8,8,0,0,0,0,ham
30,7,7,1,0,0,0,ham
126,26,23,4,0,0,0,ham
124,26,23,12,2,0,23,spam
158,32,28,36,6,0,0,ham
143,27,24,5,0,0,0,ham
28,6,6,1,0,0,0,ham
37,9,9,1,0,0,0,ham
87,19,16,1,0,0,0,ham
40,8,8,8,1,0,0,ham
136,28,26,17,3,0,22,spam
27,6,6,1,0,0,0,ham
96,20,17,12,1,0,0,ham
69,14,14,2,0,0,0,ham
24,5,5,1,0,0,0,ham
53,11,11,1,0,0,0,ham
64,14,14,1,0,0,0,ham
34,8,8,1,0,0,0,ham
158,28,26,25,4,3,24,spam
125,23,22,26,2,0,14,spam
62,13,13,46,9,0,0,ham
102,23,23,2,0,0,1,ham
65,12,12,2,0,0,1,ham
22,5,5,1,0,0,0,ham
26,5,5,1,0,0,0,ham
143,25,21,4,0,0,0,ham
47,9,9,3,0,0,0,ham
122,28,28,4,0,0,2,ham
30,6,6,2,0,0,0,ham
154,31,30,5,0,2,14,spam
30,6,6,1,0,0,0,ham
54,12,11,42,12,0,0,ham
73,14,14,1,0,0,0,ham
73,15,14,8,2,0,0,ham
133,29,27,1,0,0,9,ham
160,33,24,10,0,0,0,ham
157,25,24,4,0,0,16,spam
137,29,29,14,2,0,8,spam
149,31,29,11,0,0,3,spam
29,7,7,1,0,0,0,ham
49,12,12,1,0,0,0,ham
45,11,10,3,0,0,0,ham
111,23,23,15,2,0,8,spam
27,7,7,1,0,0,0,ham
46,8,8,1,0,0,0,ham
32,5,5,1,0,0,0,ham
141,22,22,7,0,0,13,spam
116,23,22,5,0,0,0,ham
117,24,22,4,0,0,0,ham
44,10,10,1,0,0,0,ham
23,6,6,2,0,0,0,ham
73,18,17,1,0,0,0,ham
43,9,9,2,0,0,0,ham
43,8,8,1,0,0,0,ham
34,6,6,2,0,0,0,ham
37,7,7,1,0,0,0,ham
68,14,14,2,0,0,0,ham
93,24,23,66,19,0,3,ham
159,33,33,26,3,0,23,spam
157,37,22,5,0,0,0,ham
28,6,6,1,0,0,0,ham
160,35,29,4,0,0,0,ham
128,20,19,17,3,0,1,ham
85,19,17,1,0,0,0,ham
153,30,25,18,0,0,3,spam
94,19,18,2,0,1,0,ham
137,25,25,16,2,0,17,spam
45,10,10,8,1,0,0,ham
95,17,13,2,0,0,0,ham
126,26,25,10,1,1,0,ham
160,31,31,19,1,0,3,spam
105,20,20,3,0,0,0,ham
148,24,24,17,1,0,40,spam
68,12,12,2,0,0,0,ham
82,16,16,4,1,0,0,ham
154,32,26,6,0,0,0,ham
44,9,9,1,0,0,0,ham
78,14,13,2,0,0,2,ham
121,26,24,4,0,0,0,ham
34,5,5,2,0,0,0,ham
144,33,32,12,0,0,10,spam
39,6,6,4,0,0,0,ham
106,22,20,2,0,0,0,ham
25,6,6,12,0,0,0,ham
15,4,4,1,0,1,0,ham
39,8,8,1,0,0,0,ham
26,5,5,1,0,0,0,ham
30,8,8,2,0,0,0,ham
73,14,14,1,0,0,0,ham
27,5,5,1,0,0,0,ham
61,12,11,1,0,0,0,ham
40,10,9,1,0,0,0,ham
151,33,32,1,0,0,0,ham
117,23,20,4,0,0,0,ham
87,19,18,3,0,0,0,ham
140,26,23,0,0,0,17,spam
174,28,19,28,5,0,0,ham
32,9,9,1,0,0,0,ham
126,26,24,2,0,0,0,ham
68,11,11,2,0,0,0,ham
76,15,13,2,0,0,0,ham
23,6,6,1,0,0,0,ham
98,17,16,3,0,0,0,ham
58,13,12,2,0,0,1,ham
95,21,21,2,0,0,0,ham
28,6,6,1,0,0,0,ham
68,16,15,52,14,0,0,ham
96,21,20,2,0,0,1,ham
269,53,43,8,0,0,2,ham
31,9,8,1,0,0,1,ham
159,31,26,3,0,0,23,spam
43,10,10,1,0,0,1,ham
40,6,6,0,0,0,0,ham
31,9,8,1,0,0,1,ham
40,9,9,1,0,0,0,ham
146,28,25,2,0,0,20,spam
49,10,9,1,0,0,0,ham
81,15,15,1,0,0,0,ham
52,10,10,2,0,0,0,ham
49,9,9,2,0,0,0,ham
29,6,6,1,0,0,0,ham
163,27,27,35,5,0,6,spam
80,15,14,1,0,0,0,ham
38,7,7,1,0,0,0,ham
34,7,7,1,0,0,0,ham
45,7,6,2,0,0,0,ham
49,11,11,2,0,0,0,ham
98,21,16,2,0,0,0,ham
22,7,7,0,0,0,0,ham
71,17,15,1,0,0,2,ham
159,39,29,5,0,0,0,ham
28,7,7,1,0,0,0,ham
159,31,30,30,6,0,27,spam
60,12,12,2,0,0,0,ham
38,9,9,1,0,0,0,ham
143,35,28,3,0,0,1,ham
23,5,5,1,0,0,0,ham
163,28,28,99,22,0,29,spam
74,14,14,3,0,0,0,ham
46,10,9,1,0,0,0,ham
89,14,14,5,0,0,0,ham
48,8,8,39,8,0,0,ham
41,9,9,1,0,0,0,ham
287,60,50,4,0,0,0,ham
149,33,31,2,0,0,0,ham
48,9,9,3,0,0,0,ham
33,7,7,1,0,0,0,ham
134,23,21,26,3,0,8,spam
25,4,4,1,0,0,0,ham
32,6,6,1,0,0,0,ham
177,32,28,8,1,0,21,spam
51,10,10,0,0,0,0,ham
45,10,10,1,0,0,0,ham
20,5,5,1,0,0,0,ham
166,42,36,2,0,0,3,ham
88,18,16,3,0,0,0,ham
41,11,11,1,0,0,2,ham
141,26,20,19,1,0,1,ham
71,13,13,4,0,0,0,ham
138,31,27,4,0,0,0,ham
104,19,19,1,0,0,0,ham
64,13,13,0,0,0,0,ham
147,29,26,2,0,0,0,ham
26,5,5,1,0,0,0,ham
140,34,31,94,25,0,1,ham
101,23,22,2,0,0,0,ham
18,3,3,1,0,0,0,ham
11,1,1,1,0,0,0,ham
37,7,7,1,0,0,0,ham
8,2,2,1,0,0,0,ham
160,29,29,12,1,1,24,spam
158,31,29,33,4,2,9,spam
154,29,28,20,4,0,2,spam
124,23,21,3,0,0,0,ham
63,13,12,2,0,0,0,ham
151,29,27,7,1,0,0,ham
148,35,33,0,0,0,1,ham
38,8,8,1,0,0,0,ham
33,7,7,3,0,0,0,ham
98,19,18,3,0,0,0,ham
35,7,7,2,0,0,0,ham
28,6,6,1,0,0,0,ham
237,48,42,6,0,0,0,ham
105,17,15,7,1,0,5,spam
165,32,29,8,0,0,0,ham
33,6,6,1,0,0,0,ham
154,30,30,29,4,0,31,spam
135,26,24,8,0,0,8,spam
43,7,7,1,0,0,1,ham
126,20,18,2,0,0,0,ham
29,7,7,1,0,0,0,ham
47,9,9,3,1,0,0,ham
136,29,28,6,1,0,0,spam
23,5,5,1,0,0,0,ham
56,12,12,1,0,0,0,ham
47,9,9,1,0,0,0,ham
25,5,5,1,0,0,0,ham
96,25,22,3,0,0,1,ham
41,8,8,1,0,0,0,ham
48,12,12,1,0,1,1,ham
104,21,21,3,0,0,0,ham
23,5,5,2,0,0,0,ham
71,14,13,3,0,0,0,ham
56,11,11,2,0,0,0,ham
84,19,17,3,0,0,0,ham
154,27,27,30,6,0,25,spam
52,10,10,1,0,0,0,ham
153,25,25,19,2,0,24,spam
125,27,27,6,0,0,2,ham
64,14,13,3,0,0,0,ham
129,27,21,6,0,0,0,ham
23,6,5,1,0,0,0,ham
37,8,8,1,0,0,0,ham
67,13,13,1,0,0,0,ham
375,72,56,15,1,0,1,ham
145,28,25,5,1,0,24,spam
34,6,6,5,1,0,0,ham
91,17,16,3,0,0,0,ham
84,17,17,4,0,0,0,ham
157,31,27,2,0,0,1,ham
23,4,4,1,0,0,0,ham
60,14,12,5,0,0,0,ham
31,6,6,1,0,0,0,ham
31,6,6,0,0,0,0,ham
154,27,23,28,2,0,19,spam
125,16,16,14,2,0,0,ham
136,28,26,17,3,0,22,spam
53,10,10,3,0,0,0,ham
85,18,18,2,0,0,0,ham
24,5,5,1,0,0,0,ham
159,25,25,15,4,0,0,ham
76,17,17,2,0,0,2,ham
99,17,16,1,0,0,0,ham
141,22,22,24,3,0,24,spam
161,33,29,9,1,0,21,spam
70,15,15,2,0,0,0,ham
45,9,9,3,0,0,0,ham
99,24,20,3,0,0,0,ham
37,8,8,28,7,0,0,ham
51,10,9,1,0,0,0,ham
138,28,27,4,0,1,4,ham
96,20,19,1,0,0,0,ham
28,5,5,1,0,0,0,ham
24,5,5,2,0,0,0,ham
80,18,18,2,0,0,0,ham
24,3,3,1,0,0,0,ham
29,7,7,1,0,0,1,ham
150,34,30,4,0,0,2,ham
113,19,19,3,0,0,0,ham
84,15,15,1,0,0,0,ham
40,9,9,1,0,0,0,ham
87,20,17,2,0,0,1,ham
26,6,6,1,0,1,0,ham
47,10,9,2,0,0,0,ham
22,5,5,2,0,0,0,ham
45,10,10,1,0,0,0,ham
39,6,6,1,0,0,0,ham
77,14,14,3,0,0,0,ham
14,2,2,2,0,0,0,ham
35,6,6,3,0,1,0,ham
65,12,12,1,0,0,0,ham
46,11,10,2,0,0,0,ham
53,10,10,1,0,0,0,ham
23,4,4,1,0,0,0,ham
22,5,5,1,0,0,0,ham
143,27,24,4,0,0,0,ham
58,12,12,1,0,0,0,ham
22,4,4,1,0,0,0,ham
143,27,25,5,0,0,0,ham
112,23,23,8,1,0,0,spam
31,7,7,2,0,0,0,ham
38,7,7,2,0,0,1,ham
52,12,12,2,0,0,0,ham
30,7,7,1,0,0,0,ham
152,35,29,20,3,0,2,spam
